SimID,alpha,scalar,orthogroups,all_species_single_copy,unassigned_genes,percentage_unassigned,mean_orthogroup_size,median_orthogroup_size
1,0.765403148,0.0616,10001,9998,0,0,44,44
2,1.06865803,0.1583,10001,9991,1,0,44,44
3,1.211603046,0.1931,10001,9991,3,0,44,44
4,0.830377268,0.223,10001,9995,2,0,44,44
5,0.669624623,0.2734,10002,9990,3,0,44,44
6,0.442228089,0.3065,10001,9995,3,0,44,44
7,0.883977524,0.3398,10000,9997,3,0,44,44
8,0.960033789,0.4122,10002,9993,44,0,44,44
9,0.600080126,0.4473,10002,9995,2,0,44,44
10,0.74386247,0.4876,10003,9990,41,0,44,44
11,1.521819654,0.5156,10019,9971,6,0,43.9,44
12,0.6680813,0.5557,10007,9983,49,0,44,44
13,0.799108499,0.5905,10023,9972,15,0,43.9,44
14,0.941127912,0.6312,10029,9967,10,0,43.9,44
15,0.760568347,0.6656,10030,9964,9,0,43.9,44
16,1.033545527,0.6989,10106,9902,24,0,43.5,44
17,1.118167571,0.7437,10216,9829,71,0,43.1,44
18,1.324673349,0.7812,10282,9759,67,0,42.8,44
19,0.621909974,0.8024,10069,9932,23,0,43.7,44
20,0.787750481,0.8304,10173,9849,59,0,43.2,44
21,1.245644064,0.8755,10693,9560,221,0.1,41.1,44
22,0.47524497,0.9003,10047,9950,28,0,43.8,44
23,0.60664032,0.9292,10107,9905,46,0,43.5,44
24,1.010466355,0.9793,10502,9656,184,0,41.9,44
25,0.618006096,0.9977,10131,9889,71,0,43.4,44
26,0.793982677,1.0343,10514,9673,210,0,41.8,44
27,1.265775326,1.0829,11646,9165,711,0.2,37.7,44
28,0.798397201,1.1054,10409,9717,194,0,42.3,44
29,0.222545655,1.1499,10005,9979,14,0,44,44
30,0.439858592,1.1698,10162,9873,89,0,43.3,44
31,0.883977524,1.2115,11032,9462,548,0.1,39.8,44
32,1.114914143,1.2333,12045,9047,1100,0.2,36.4,44
33,0.996405076,1.2639,11817,9117,1006,0.2,37.1,44
34,1.227078348,1.2944,12524,8825,1472,0.3,35,44
35,0.501831839,1.3244,10428,9740,205,0,42.2,44
